White Labs,Ale,WLP099,Super High Gravity Ale,80,80,2,65,69,3
White Labs,Belgian,WLP300,Hefeweizen Ale,72,76,0,68,72,0
White Labs,Belgian,WLP320,American Hefe Ale,70,75,0,65,69,0
White Labs,Belgian,WLP351,Bavarian Weizen Ale,73,77,0,66,70,0
White Labs,Belgian,WLP380,Hefeweizen IV Ale,73,80,0,66,70,0
White Labs,Belgian,WLP400,Belgian Wit Ale,74,78,1,67,74,0
White Labs,Belgian,WLP410,Belgain Wit II Ale,70,75,1,67,74,0
White Labs,Belgian,WLP500,Trappist Ale,75,80,1,65,72,2
White Labs,Belgian,WLP510,Belgian Bastogne Ale,74,80,2,66,72,2
White Labs,Belgian,WLP530,Abbey Ale,75,80,3,66,72,2
White Labs,Belgian,WLP550,Belgain Ale,78,85,2,68,78,1
White Labs,Belgian,WLP565,Belgian Saison Ale,65,75,2,68,75,0
White Labs,Belgian,WLP570,Belgian Golden Ale,73,78,0,68,75,2
White Labs,Lager,WLP800,Pilsner Lager,72,77,3,50,55,0
White Labs,Lager,WLP802,Czech Budejovice Lager,75,80,3,50,55,0
White Labs,Lager,WLP810,San Fransisco Lager,65,70,4,58,65,1
White Labs,Lager,WLP820,Oktoberfest/Marzen,65,73,2,52,58,1
White Labs,Lager,WLP830,German Lager,74,79,2,50,55,0
White Labs,Lager,WLP833,German Bock Lager,70,76,2,48,55,1
White Labs,Lager,WLP838,Southern German Lager,68,76,3,50,55,0
White Labs,Lager,WLP840,American Lager,75,80,2,50,55,0
White Labs,Lager,WLP850,Copenhagen Lager,72,78,2,50,58,0
White Labs,Lager,WLP885,Zurich Lager,70,80,2,50,55,3
White Labs,Lager,WLP920,Old Bavarian Lager,66,73,2,50,55,1
White Labs,Lager,WLP940,Mexican Lager,70,78,2,50,55,0
